,c,mae_train,mae_val,nu
0,0.0001,0.8600104596108024,0.8433136653781093,0.1
1,0.0001,0.7332602923555454,0.7313825048277127,0.3
2,0.0001,0.6617657137994295,0.6700346222145181,0.5
3,0.0001,0.6326899557101289,0.6522370022643085,0.7
4,0.0001,0.6167014781840211,0.6478706625999959,0.9
5,0.001,0.6843365712903936,0.697615140734347,0.1
6,0.001,0.5441360888477628,0.6321701642391724,0.3
7,0.001,0.46376995208953287,0.6196253694113576,0.5
8,0.001,0.3935364158177069,0.6185524067492583,0.7
9,0.001,0.36424108638385755,0.6201284821537028,0.9
10,0.01,0.4827735182842556,0.6872073046434882,0.1
11,0.01,0.14349075297563116,0.7202271126974942,0.3
12,0.01,0.0618452921933771,0.7283887806560009,0.5
13,0.01,0.06179531417478164,0.7283969870945564,0.7
14,0.01,0.061785182643655526,0.728404864694269,0.9
15,0.1,0.00041015298345689274,0.8151874812154778,0.1
16,0.1,0.00027774700637205296,0.8152289222075839,0.3
17,0.1,0.0002553003953872681,0.8152409664511617,0.5
18,0.1,0.00026346742399407935,0.8152324936067274,0.7
19,0.1,0.00026221954319086187,0.8152368828787118,0.9
20,1.0,0.00032256617917010696,0.8157711163273902,0.1
21,1.0,0.00024153940995706675,0.8157918799823561,0.3
22,1.0,0.00021738919980201482,0.8158013273093951,0.5
23,1.0,0.00022668110921122633,0.8157971715749691,0.7
24,1.0,0.00023039607847930602,0.8157977467165639,0.9
25,10.0,0.00032584574029967265,0.8157662663912695,0.1
26,10.0,0.00024288003776882694,0.8157938804310305,0.3
27,10.0,0.00022050696594056772,0.8158015584511473,0.5
28,10.0,0.00022520172438987498,0.8157955607548708,0.7
29,10.0,0.0002319569764149906,0.8157976357626375,0.9
30,100.0,0.000320350999140455,0.8157686141615351,0.1
31,100.0,0.0002450508796599194,0.8157921427472936,0.3
32,100.0,0.0002181025432409679,0.815797989058936,0.5
33,100.0,0.0002317709846499481,0.8157941779602151,0.7
34,100.0,0.00022892574020873585,0.8157969236304176,0.9
