,c,mae_train,mae_val,nu
0,0.0001,0.9200594486225684,0.9006215590652952,0.1
1,0.0001,0.8687349137790727,0.8629701841678576,0.3
2,0.0001,0.8175945490924978,0.8129187586274071,0.5
3,0.0001,0.7697542257639423,0.7631995600808397,0.7
4,0.0001,0.7565821076630972,0.7504797866799326,0.9
5,0.001,0.8243969535900828,0.817685659911219,0.1
6,0.001,0.6662673253368527,0.7019854045945431,0.3
7,0.001,0.5856838049397075,0.6652929923240751,0.5
8,0.001,0.5309278050833354,0.6511736444018583,0.7
9,0.001,0.49133594678936887,0.6496896992825696,0.9
10,0.01,0.5944011549461884,0.6926936963081719,0.1
11,0.01,0.34589581101303624,0.6773701205195993,0.3
12,0.01,0.1494343178348601,0.6856728873180171,0.5
13,0.01,0.14011455276603474,0.686187297050695,0.7
14,0.01,0.14007470261897698,0.6861904739470037,0.9
15,0.1,0.01425948600231328,0.7909093353075534,0.1
16,0.1,0.0008099045927205922,0.7936275702283306,0.3
17,0.1,0.0007833225603107615,0.793633699363363,0.5
18,0.1,0.0007941455248146306,0.7936348587483355,0.7
19,0.1,0.0007768513832922617,0.7936397071736289,0.9
20,1.0,0.00029897738208333727,0.7961153890772208,0.1
21,1.0,0.00024413148071067246,0.7961300489351875,0.3
22,1.0,0.00022861817939772518,0.7961316831371341,0.5
23,1.0,0.00023660897477994217,0.7961312891433443,0.7
24,1.0,0.000224358140940837,0.7961343212486555,0.9
25,10.0,0.00029399495444412064,0.7961199832513208,0.1
26,10.0,0.0002411327995024932,0.7961309147393107,0.3
27,10.0,0.00022861817997034146,0.7961316831481957,0.5
28,10.0,0.00023837040140610482,0.7961311798591568,0.7
29,10.0,0.0002238498213676371,0.7961367056588626,0.9
30,100.0,0.0002953903569009362,0.7961191889551731,0.1
31,100.0,0.0002409942276076499,0.7961316473144,0.3
32,100.0,0.00022979376841882616,0.7961319717537894,0.5
33,100.0,0.0002379472705124941,0.7961310553331146,0.7
34,100.0,0.00022587946544237606,0.7961356620845327,0.9
