,c,mae_train,mae_val,nu
0,0.0001,0.9423205982222183,0.924631181540317,0.1
1,0.0001,0.9254270589458125,0.9226201322028689,0.3
2,0.0001,0.9031736012989222,0.904863938718915,0.5
3,0.0001,0.8579635925649458,0.8579902966083167,0.7
4,0.0001,0.8403160818248383,0.8369933063278294,0.9
5,0.001,0.8861033912831524,0.8841947534866732,0.1
6,0.001,0.7788764763690967,0.8307249050399663,0.3
7,0.001,0.6680249187216233,0.7657903506119272,0.5
8,0.001,0.5783183024284688,0.727957391735613,0.7
9,0.001,0.525615409486228,0.7195936234928989,0.9
10,0.01,0.6563439883352988,0.7764390289421389,0.1
11,0.01,0.25291603561479425,0.6987422296637559,0.3
12,0.01,0.09202292683702251,0.694476191285877,0.5
13,0.01,0.09193010917068375,0.6944776126117468,0.7
14,0.01,0.09188475658766124,0.694478276521052,0.9
15,0.1,0.0003850967664819832,0.7201068020722273,0.1
16,0.1,0.00029728189866193473,0.7201148286591006,0.3
17,0.1,0.0002852282611056637,0.7201180181160637,0.5
18,0.1,0.00025966854860778735,0.7201194275247422,0.7
19,0.1,0.00023562328626378304,0.7201221955075399,0.9
20,1.0,0.00028286887015483277,0.7201528942608215,0.1
21,1.0,0.0002650748161607155,0.7201533569738892,0.3
22,1.0,0.00025939294604620253,0.7201554932227452,0.5
23,1.0,0.00023623568587417614,0.7201572985537079,0.7
24,1.0,0.0002085726487011553,0.7201574543432422,0.9
25,10.0,0.0002820740821476926,0.720151795319194,0.1
26,10.0,0.00026688616106230936,0.720153371389126,0.3
27,10.0,0.0002616765671894387,0.7201554784200337,0.5
28,10.0,0.00023501997617964558,0.7201576399367288,0.7
29,10.0,0.00020782037552514828,0.7201590260638777,0.9
30,100.0,0.0002844878589329325,0.7201531825845904,0.1
31,100.0,0.00026471980528259935,0.7201534760349362,0.3
32,100.0,0.0002598487379138739,0.7201543025681396,0.5
33,100.0,0.00023511986814090977,0.720157568554564,0.7
34,100.0,0.00021054355100639692,0.7201601356853256,0.9
